category,month,count
cond-mat.stat-mech,2023-01,280
cond-mat.stat-mech,2023-02,263
cond-mat.stat-mech,2023-03,322
cond-mat.stat-mech,2023-04,242
cond-mat.stat-mech,2023-05,359
cond-mat.stat-mech,2023-06,333
cond-mat.stat-mech,2023-07,355
cond-mat.stat-mech,2023-08,311
cond-mat.stat-mech,2023-09,292
cond-mat.stat-mech,2023-10,381
cond-mat.stat-mech,2023-11,342
cond-mat.stat-mech,2023-12,298
cond-mat.stat-mech,2024-01,284
cond-mat.stat-mech,2024-02,304
cond-mat.stat-mech,2024-03,342
cond-mat.stat-mech,2024-04,316
cond-mat.stat-mech,2024-05,345
cond-mat.stat-mech,2024-06,323
cond-mat.stat-mech,2024-07,373
cond-mat.stat-mech,2024-08,238
cond-mat.stat-mech,2024-09,348
cond-mat.stat-mech,2024-10,370
cond-mat.stat-mech,2024-11,346
cond-mat.stat-mech,2024-12,350
cond-mat.stat-mech,2025-01,295
cond-mat.stat-mech,2025-02,256
cond-mat.stat-mech,2025-03,358
cond-mat.stat-mech,2025-04,313
cond-mat.stat-mech,2025-05,332
cond-mat.stat-mech,2025-06,342
cond-mat.stat-mech,2025-07,397
cond-mat.stat-mech,2025-08,314
cond-mat.stat-mech,2025-09,362
cond-mat.stat-mech,2025-10,355
cond-mat.stat-mech,2025-11,327
cond-mat.stat-mech,2025-12,403
cond-mat.stat-mech,2026-01,328
cond-mat.stat-mech,2026-02,353
cond-mat.stat-mech,2026-03,478
cond-mat.stat-mech,2026-04,429
cond-mat.stat-mech,2026-05,474
cond-mat.stat-mech,2026-06,438
econ.TH,2019-01,12
econ.TH,2019-02,7
econ.TH,2019-03,13
econ.TH,2019-04,18
econ.TH,2019-05,25
econ.TH,2019-06,19
econ.TH,2019-07,29
econ.TH,2019-08,28
econ.TH,2019-09,21
econ.TH,2019-10,26
econ.TH,2019-11,28
econ.TH,2019-12,18
econ.TH,2020-01,15
econ.TH,2020-02,26
econ.TH,2020-03,19
econ.TH,2020-04,31
econ.TH,2020-05,41
econ.TH,2020-06,47
econ.TH,2020-07,37
econ.TH,2020-08,31
econ.TH,2020-09,27
econ.TH,2020-10,27
econ.TH,2020-11,33
econ.TH,2020-12,37
econ.TH,2021-01,22
econ.TH,2021-02,52
econ.TH,2021-03,48
econ.TH,2021-04,34
econ.TH,2021-05,41
econ.TH,2021-06,45
